target,CAPRI_id,total_predictions
T1201,T236,8040.0
H1202,T238,8040.0
H1204,T240,8040.0
T1207,,8040.0
T1210,,8040.0
T1212,,8040.0
T1219,,8040.0
T1206,T242,8040.0
H1208,T244,8040.0
H1215,T248,8040.0
T1226,,8040.0
T1249,"T250,T252",8040.0
H1213,T256,8040.0
H1217,T258,395.0
T1231,,8040.0
T1218,T260,8040.0
H1220,T262,8040.0
H1222,T266,8040.0
H1223,T268,8040.0
H1225,T270,8040.0
T1243,,8040.0
H1227,T272,45.0
H1227_LetB_1-279,T272,8040.0
H1229,T274,8040.0
H1230,T276,8040.0
H1232,T278,8040.0
T1247,,8040.0
H1233,T280,8040.0
H1236,T292,8040.0
T1234,T288,8040.0
T1235,T290,8040.0
T1266,,8040.0
T1237,T282,8040.0
T1238,T284,8040.0
T1240,T286,8040.0
T1269,,8040.0
H1244,T294,8040.0
H1245,T296,8040.0
T1246,,8040.0
H1258,,2040.0
T1257,,2040.0
T1259,T298,8040.0
H1265,,2040.0
T1274,,8040.0
H1267,T300,8040.0
T1275,,8040.0
T1270,T302,8040.0
T1277,,8040.0
T1278,,8040.0
T1279,,8040.0
T1280,,8040.0
M1271,,
T1271s1,,2680.0
T1271s2,,2680.0
T1271s3,,2680.0
T1271s4,,2680.0
T1271s5,,2680.0
T1271s6,,2680.0
T1271s7,,2680.0
T1271s8,,2680.0
T1284,,8040.0
T1276,,8040.0
H1272,,
T1272s2,,8040.0
T1272s3,,8040.0
T1272s4,,8040.0
T1272s5,,8040.0
T1272s6,,8040.0
T1272s7,,8040.0
T1272s8,,8040.0
T1272s9,,8040.0
T1292,,8040.0
T1294,,8040.0
T1200,,8040.0
T1300,,8040.0
T1295,,4080.0
T1298,T309,8040.0
T1269v1,,4080.0
T1269v1,,525.0
T1299,,8040.0
T1219v1,,8040.0
T1219v1,,8040.0
